AnVIL_CMG_Broad_Muscle_KNC_WGS,fc-secure-004e5c03-d24d-4f7f-a26b-9fdc64b0ca3c,14,14,0,14,14
anvil_ccdg_broad_ai_ibd_daly_niddk_cho_wes,fc-secure-00737009-4e0f-454d-bb02-4b70566a0ed2,0,0,4444,4473,0
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUBG_DS_EPI_NPU_MDS_WES,fc-secure-01106611-a0e9-41bb-ac13-27683ab2fc19,0,0,489,489,0
AnVIL_CMG_BaylorHopkins_HMB-NPU_WES,fc-secure-01716d0c-bf96-4d6d-8af1-b93079ba34cd,0,0,789,789,0
AnVIL_CCDG_Broad_NP_Epilepsy_USAMGH_MGBB_HMB_MDS_WES,fc-secure-04e82709-08e0-4335-aaef-ba55089f6fd9,0,0,44,44,0
AnVIL_CCDG_Broad_NP_Epilepsy_USACRW_EPI_ASZ_MED_MDS_WES,fc-secure-05e511c4-0b47-41a5-a361-99f747cbef6c,0,0,37,37,0
ANVIL_CMG_Broad_Muscle_Laing_WES,fc-secure-0709e235-78d6-4915-9c99-92e4984dedb9,31,31,0,31,31
AnVIL_CCDG_WashU_CVD_EOCAD_BioMe_WGS,fc-secure-07fcf1c8-7442-4047-826b-8fe723325ba2,0,0,647,648,0
AnVIL_ccdg_asc_ndd_daly_talkowski_chung_asd_exome,fc-secure-08bb70e6-9fa1-40dc-8822-41d73945c053,0,0,523,523,0
AnVIL_CCDG_Broad_CVD_EOCAD_TaiChi_WGS,fc-secure-09e06b8a-30e8-47a8-8faa-ec7201bc120d,0,0,773,773,0
AnVIL_CCDG_Broad_AI_IBD_Brant_DS-IBD_WGS,fc-secure-0ac23157-c61b-47c0-9567-a5296e124a84,0,0,199,199,0
AnVIL_ccdg_asc_ndd_daly_talkowski_ac-boston_asd_exome,fc-secure-0aedc988-3736-496c-b7ac-20cca5b3ceb9,0,0,757,757,0
AnVIL_CCDG_Freeze2_VCFAggregation,fc-0af06d55-6b50-4ef1-b853-e4af3f6c8e82,0,0,0,61151,0
AnVIL_CCDG_WashU_AI_T1D_T1DGC_WGS,fc-secure-0b19bbb9-481f-404d-a4a6-3024b7c4b698,0,0,3397,3397,0
